network_id,iteration,num_agents,skill_type,source,target,weight
1,0,2,S++,S++_1,S++_2,9.7
1,0,2,S++,S++_1,S++_2,9.7
1,1,2,S++,S++_1,S++_2,9.4
1,1,2,S++,S++_1,S++_2,9.4
2,0,2,S++,S++_1,S++_2,9.7
2,0,2,S++,S++_1,S++_2,9.7
2,1,2,S++,S++_1,S++_2,9.4
2,1,2,S++,S++_1,S++_2,9.4
1,0,2,S,S_1,S_2,9.7
1,0,2,S,S_1,S_2,9.7
1,1,2,S,S_1,S_2,9.4
1,1,2,S,S_1,S_2,9.4
2,0,2,S,S_1,S_2,9.7
2,0,2,S,S_1,S_2,9.7
2,1,2,S,S_1,S_2,9.4
2,1,2,S,S_1,S_2,9.4
1,0,3,S++,S++_1,S++_2,9.7
1,0,3,S++,S++_1,S++_2,9.7
1,0,3,S++,S++_1,S++_3,9.7
1,0,3,S++,S++_1,S++_3,9.7
1,0,3,S++,S++_2,S++_3,0.0
1,0,3,S++,S++_2,S++_3,0.0
1,1,3,S++,S++_1,S++_2,10.0
1,1,3,S++,S++_1,S++_2,10.0
1,1,3,S++,S++_1,S++_3,10.0
1,1,3,S++,S++_1,S++_3,10.0
1,1,3,S++,S++_2,S++_3,0.0
1,1,3,S++,S++_2,S++_3,0.0
2,0,3,S++,S++_1,S++_2,10.3
2,0,3,S++,S++_1,S++_2,10.3
2,0,3,S++,S++_1,S++_3,10.3
2,0,3,S++,S++_1,S++_3,10.3
2,0,3,S++,S++_2,S++_3,0.0
2,0,3,S++,S++_2,S++_3,0.0
2,1,3,S++,S++_1,S++_2,10.6
2,1,3,S++,S++_1,S++_2,10.6
2,1,3,S++,S++_1,S++_3,10.6
2,1,3,S++,S++_1,S++_3,10.6
2,1,3,S++,S++_2,S++_3,0.0
2,1,3,S++,S++_2,S++_3,0.0
1,0,3,S,S_1,S_2,9.7
1,0,3,S,S_1,S_2,9.7
1,0,3,S,S_1,S_3,9.7
1,0,3,S,S_1,S_3,9.7
1,0,3,S,S_2,S_3,0.0
1,0,3,S,S_2,S_3,0.0
1,1,3,S,S_1,S_2,9.4
1,1,3,S,S_1,S_2,9.4
1,1,3,S,S_1,S_3,9.4
1,1,3,S,S_1,S_3,9.4
1,1,3,S,S_2,S_3,0.0
1,1,3,S,S_2,S_3,0.0
2,0,3,S,S_1,S_2,9.7
2,0,3,S,S_1,S_2,9.7
2,0,3,S,S_1,S_3,9.7
2,0,3,S,S_1,S_3,9.7
2,0,3,S,S_2,S_3,0.0
2,0,3,S,S_2,S_3,0.0
2,1,3,S,S_1,S_2,9.4
2,1,3,S,S_1,S_2,9.4
2,1,3,S,S_1,S_3,9.4
2,1,3,S,S_1,S_3,9.4
2,1,3,S,S_2,S_3,0.0
2,1,3,S,S_2,S_3,0.0
